Subdivision,Name,creation,extinction,CurrentLevel,Notes
AC,Acre,1904,,State,
AL,Alagoas,1889,,State,
AM,Amazonas,1889,,State,
AP,Amapá,1943,,State,
BA,Bahia,1889,,State,
CE,Ceará,1889,,State,
DF,Distrito Federal,1889,,Federal district,local changed in 1960
ES,Espírito Santo,1889,,State,
FN,Fernando de Noronha,1943,1946,Territory,extinct
GB,Guanabara,1960,1975,State,extinct
GO,Goiás,1889,,State,
GU,Guaporé,1943,1946,Territory,renamed to Rondônia
MA,Maranhão,1889,,State,
MG,Minas Gerais,1889,,State,
MS,Mato Grosso do Sul,1977,,State,
MT,Mato Grosso,1889,,State,
PA,Pará,1889,,State,
PB,Paraíba,1889,,State,
PE,Pernambuco,1889,,State,
PI,Piauí,1889,,State,
PP,Ponta Porã,1943,1946,Territory,extinct
PR,Paraná,1889,,State,
RB,Rio Branco,1943,1946,State,renamed to Roraima
RJ,Rio de Janeiro,1889,,State,
RN,Rio Grande do Norte,1889,,State,
RO,Rondônia,1981,,State,
RR,Roraima,1947,,State,changed level in 1988
RS,Rio Grande do Sul,1889,,State,
SC,Santa Catarina,1889,,State,
SE,Sergipe,1889,,State,
SP,São Paulo,1889,,State,
TO,Tocantins,1988,,State,
