autoridade,escopo,n_urns
advocacia.geral.uniao,jud,1916
advocacia.geral.uniao;centro.estudos.victor.nunes.leal,jud,2
advocacia.geral.uniao;conselho.superior.agu,jud,168
advocacia.geral.uniao;consultoria.geral.uniao,jud,105
advocacia.geral.uniao;consultoria.geral.uniao;consultoria.juridica.mte,jud,2042
advocacia.geral.uniao;consultoria.geral.uniao;nucleo.assessoramento.juridico.al,jud,1
advocacia.geral.uniao;corregedoria.geral.agu,jud,3348
advocacia.geral.uniao;diretoria.geral.administracao,jud,28
advocacia.geral.uniao;escola.advocacia.geral.uniao,jud,78
advocacia.geral.uniao;gerencia.tecnologia.informacao,jud,8
advocacia.geral.uniao;procuradoria.geral.fazenda.nacional,jud,48
advocacia.geral.uniao;procuradoria.geral.federal,jud,3952
advocacia.geral.uniao;procuradoria.geral.federal;adjuntoria.contencioso,jud,18
advocacia.geral.uniao;procuradoria.geral.federal;coordenacao.geral.cobranca.recuperacao.creditos,jud,130
advocacia.geral.uniao;procuradoria.geral.federal;coordenacao.geral.projetos.assuntos.estrategicos,jud,1
advocacia.geral.uniao;procuradoria.geral.federal;procuradoria.federal.especializada.junto.dnit,jud,8
advocacia.geral.uniao;procuradoria.geral.federal;procuradoria.federal.especializada.junto.inss,jud,3
advocacia.geral.uniao;procuradoria.geral.uniao,jud,249
advocacia.geral.uniao;secretaria.geral,jud,764
assembleia.legislativa,leg,12471
camara.deputados,leg,21531
camara.legislativa,leg,265
camara.municipal,leg,3262
camara.superior.recursos.fiscais;turma.1,leg,2937
camara.superior.recursos.fiscais;turma.2,leg,785
camara.superior.recursos.fiscais;turma.3,leg,2340
camara.superior.recursos.fiscais;turma.4,leg,459
congresso.nacional,leg,709
conselho.administrativo.recursos.fiscais;secao.julgamento.1;camara.1;turma.ordinaria.1,jud,229
conselho.administrativo.recursos.fiscais;secao.julgamento.1;camara.1;turma.ordinaria.2,jud,263
conselho.administrativo.recursos.fiscais;secao.julgamento.1;camara.1;turma.ordinaria.3,jud,274
conselho.administrativo.recursos.fiscais;secao.julgamento.1;camara.2;turma.ordinaria.1,jud,292
conselho.administrativo.recursos.fiscais;secao.julgamento.1;camara.2;turma.ordinaria.2,jud,210
conselho.administrativo.recursos.fiscais;secao.julgamento.1;camara.3;turma.ordinaria.1,jud,197
conselho.administrativo.recursos.fiscais;secao.julgamento.1;camara.3;turma.ordinaria.2,jud,380
conselho.administrativo.recursos.fiscais;secao.julgamento.1;camara.4;turma.ordinaria.1,jud,325
conselho.administrativo.recursos.fiscais;secao.julgamento.1;camara.4;turma.ordinaria.2,jud,543
conselho.administrativo.recursos.fiscais;secao.julgamento.1;turma.especial.1,jud,552
conselho.administrativo.recursos.fiscais;secao.julgamento.1;turma.especial.2,jud,400
conselho.administrativo.recursos.fiscais;secao.julgamento.1;turma.especial.3,jud,574
conselho.administrativo.recursos.fiscais;secao.julgamento.1;turma.especial.4,jud,36
conselho.administrativo.recursos.fiscais;secao.julgamento.1;turma.especial.5,jud,84
conselho.administrativo.recursos.fiscais;secao.julgamento.2;camara.1;turma.ordinaria.1,jud,223
conselho.administrativo.recursos.fiscais;secao.julgamento.2;camara.1;turma.ordinaria.2,jud,365
conselho.administrativo.recursos.fiscais;secao.julgamento.2;camara.2;turma.ordinaria.1,jud,308
conselho.administrativo.recursos.fiscais;secao.julgamento.2;camara.2;turma.ordinaria.2,jud,218
conselho.administrativo.recursos.fiscais;secao.julgamento.2;camara.3;turma.ordinaria.1,jud,277
conselho.administrativo.recursos.fiscais;secao.julgamento.2;camara.3;turma.ordinaria.2,jud,303
conselho.administrativo.recursos.fiscais;secao.julgamento.2;camara.4;turma.ordinaria.1,jud,221
conselho.administrativo.recursos.fiscais;secao.julgamento.2;camara.4;turma.ordinaria.2,jud,371
conselho.administrativo.recursos.fiscais;secao.julgamento.2;camara.4;turma.ordinaria.3,jud,167
conselho.administrativo.recursos.fiscais;secao.julgamento.2;turma.especial.1,jud,681
conselho.administrativo.recursos.fiscais;secao.julgamento.2;turma.especial.2,jud,312
conselho.administrativo.recursos.fiscais;secao.julgamento.2;turma.especial.3,jud,180
conselho.administrativo.recursos.fiscais;secao.julgamento.2;turma.especial.6,jud,124
conselho.administrativo.recursos.fiscais;secao.julgamento.3;camara.1;turma.ordinaria.1,jud,136
conselho.administrativo.recursos.fiscais;secao.julgamento.3;camara.1;turma.ordinaria.2,jud,188
conselho.administrativo.recursos.fiscais;secao.julgamento.3;camara.2;turma.ordinaria.1,jud,68
conselho.administrativo.recursos.fiscais;secao.julgamento.3;camara.2;turma.ordinaria.2,jud,46
conselho.administrativo.recursos.fiscais;secao.julgamento.3;camara.3;turma.ordinaria.1,jud,320
conselho.administrativo.recursos.fiscais;secao.julgamento.3;camara.3;turma.ordinaria.2,jud,305
conselho.administrativo.recursos.fiscais;secao.julgamento.3;camara.4;turma.ordinaria.1,jud,311
conselho.administrativo.recursos.fiscais;secao.julgamento.3;camara.4;turma.ordinaria.2,jud,110
conselho.administrativo.recursos.fiscais;secao.julgamento.3;camara.4;turma.ordinaria.3,jud,255
conselho.administrativo.recursos.fiscais;secao.julgamento.3;turma.especial.1,jud,111
conselho.administrativo.recursos.fiscais;secao.julgamento.3;turma.especial.2,jud,41
conselho.administrativo.recursos.fiscais;secao.julgamento.3;turma.especial.3,jud,596
conselho.administrativo.recursos.fiscais;secao.julgamento.3;turma.especial.5,jud,30
conselho.nacional.justica,jud,190
conselho.nacional.justica;plenario,jud,1627
conselho.superior.justica.trabalho,jud,255
consultoria.geral.republica,jud,7617
distrital,leg,44665
estadual,leg,77812
federal,leg,218059
imprensa.nacional,orig,14665
ministerio.educacao,leg,1
ministerio.planejamento.orcamento.gestao,leg,12
municipal,leg,338211
primeiro.conselho.contribuintes;camara.1;turma.especial,jud,33
primeiro.conselho.contribuintes;camara.1;turma.ordinaria,jud,4479
primeiro.conselho.contribuintes;camara.2;turma.especial,jud,111
primeiro.conselho.contribuintes;camara.2;turma.ordinaria,jud,6680
primeiro.conselho.contribuintes;camara.3;turma.especial,jud,16
primeiro.conselho.contribuintes;camara.3;turma.ordinaria,jud,5054
primeiro.conselho.contribuintes;camara.4;turma.ordinaria,jud,7544
primeiro.conselho.contribuintes;camara.5;turma.especial,jud,60
primeiro.conselho.contribuintes;camara.5;turma.ordinaria,jud,4297
primeiro.conselho.contribuintes;camara.6;turma.especial,jud,1
primeiro.conselho.contribuintes;camara.6;turma.ordinaria,jud,7836
primeiro.conselho.contribuintes;camara.7;turma.especial,jud,51
primeiro.conselho.contribuintes;camara.7;turma.ordinaria,jud,5812
primeiro.conselho.contribuintes;camara.8;turma.especial,jud,26
primeiro.conselho.contribuintes;camara.8;turma.ordinaria,jud,4642
procuradoria.geral.republica,jud,3733
rede.virtual.bibliotecas,dout,255049
segundo.conselho.contribuintes;camara.1;turma.especial,jud,2
segundo.conselho.contribuintes;camara.1;turma.ordinaria,jud,8967
segundo.conselho.contribuintes;camara.2;turma.ordinaria,jud,7798
segundo.conselho.contribuintes;camara.3;turma.especial,jud,1
segundo.conselho.contribuintes;camara.3;turma.ordinaria,jud,9870
segundo.conselho.contribuintes;camara.4;turma.ordinaria,jud,2568
segundo.conselho.contribuintes;camara.5;turma.ordinaria,jud,984
segundo.conselho.contribuintes;camara.6;turma.especial,jud,1
segundo.conselho.contribuintes;camara.6;turma.ordinaria,jud,1661
senado.federal,leg,13285
superior.tribunal.justica,jud,250
superior.tribunal.justica;corte.especial,jud,8039
superior.tribunal.justica;presidencia,jud,23
superior.tribunal.justica;secao.1,jud,16209
superior.tribunal.justica;secao.2,jud,7152
superior.tribunal.justica;secao.3,jud,13432
