id,Apelido,URN
1,Constituição Federal,urn:lex:br:federal:constituicao:1988-10-05;1988
2,Código civil,urn:lex:br:federal:lei:2002-01-10;10406
3,Código das Águas,urn:lex:br:federal:decreto:1934-07-10;24643
4,Código de Defesa do Consumidor,urn:lex:br:federal:lei:1990-09-11;8078
5,Código de processo civil,urn:lex:br:federal:lei:1973-01-11;5869
6,Código Florestal,urn:lex:br:federal:lei:1965-09-15;4771
7,Código Nacional de Trânsito,urn:lex:br:federal:lei:1997-09-23;9503
8,Código Penal,urn:lex:br:federal:decreto.lei:1940-12-07;2848
9,Estatuto da Criança e do Adolescente,urn:lex:br:federal:lei:1990-07-13;8069
10,Estatuto do Idoso,urn:lex:br:federal:lei:2003-10-01;10741
11,Lei dos Interesses Difusos,urn:lex:br:federal:lei:1985-07-24;7347
12,Lei Maria da Penha,urn:lex:br:federal:lei:2006-08-07;11340
13,Novo Código Florestal,urn:lex:br:federal:lei:2012-10-17;12727
14,Lei de Crimes Ambientais,urn:lex:br:federal:lei:1998-02-12;9605
15,Marco Civil da Internet,urn:lex:br:federal:lei:2014-04-23;12965
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
