jurisdicao,n_urns
br,3296899
br;distrito.federal,45582
br;justica.trabalho;regiao.1,414125
br;justica.trabalho;regiao.12,190277
br;justica.trabalho;regiao.13,50000
br;justica.trabalho;regiao.16,13692
br;justica.trabalho;regiao.24,26080
br;justica.trabalho;regiao.3,609723
br;justica.trabalho;regiao.8,21866
br;minas.gerais,85875
br;minas.gerais;arinos,1579
br;minas.gerais;careacu,45
br;minas.gerais;carmo.paranaiba,519
br;minas.gerais;carneirinho,3143
br;minas.gerais;conceicao.ouros,1440
br;minas.gerais;divinopolis,9061
br;minas.gerais;dom.bosco,67
br;minas.gerais;ponte.nova,1405
br;minas.gerais;pouso.alto,765
br;minas.gerais;rio.pomba,177
br;minas.gerais;sao.sebastiao.rio.verde,885
br;minas.gerais;teofilo.otoni,1946
br;minas.gerais;uberaba,11851
br;minas.gerais;unai,3855
br;parana;cambe,2901
br;rio.grande.sul;acegua,870
br;rio.grande.sul;agua.santa,245
br;rio.grande.sul;agudo,524
br;rio.grande.sul;ajuricaba,476
br;rio.grande.sul;alecrim,463
br;rio.grande.sul;alegrete,283
br;rio.grande.sul;alegria,273
br;rio.grande.sul;almirante.tamandare.sul,43
br;rio.grande.sul;alpestre,424
br;rio.grande.sul;alto.alegre,197
br;rio.grande.sul;alto.feliz,168
br;rio.grande.sul;alvorada,1568
br;rio.grande.sul;amaral.ferrador,1046
br;rio.grande.sul;ametista.sul,639
br;rio.grande.sul;andre.rocha,297
br;rio.grande.sul;anta.gorda,417
br;rio.grande.sul;antonio.prado,412
br;rio.grande.sul;arambare,643
br;rio.grande.sul;ararica,102
br;rio.grande.sul;aratiba,388
br;rio.grande.sul;arroio.grande,157
br;rio.grande.sul;arroio.meio,544
br;rio.grande.sul;arroio.padre,1280
br;rio.grande.sul;arroio.ratos,269
br;rio.grande.sul;arroio.sal,313
br;rio.grande.sul;arroio.tigre,936
br;rio.grande.sul;arvorezinha,146
br;rio.grande.sul;augusto.pestana,1115
br;rio.grande.sul;aurea,110
br;rio.grande.sul;bage,643
br;rio.grande.sul;balneario.pinhal,114
br;rio.grande.sul;barao,1947
br;rio.grande.sul;barao.cotegipe,269
br;rio.grande.sul;barao.triunfo,183
br;rio.grande.sul;barracao,1107
br;rio.grande.sul;barra.funda,183
br;rio.grande.sul;barra.guarita,470
br;rio.grande.sul;barra.quarai,361
br;rio.grande.sul;barra.ribeiro,386
br;rio.grande.sul;barra.rio.azul,101
br;rio.grande.sul;barros.cassal,201
br;rio.grande.sul;benjamin.constant.sul,337
br;rio.grande.sul;bento.goncalves,10910
br;rio.grande.sul;boa.vista.burica,311
br;rio.grande.sul;boa.vista.cadeado,462
br;rio.grande.sul;boa.vista.incra,274
br;rio.grande.sul;boa.vista.missoes,292
br;rio.grande.sul;boa.vista.sul,538
br;rio.grande.sul;bom.jesus,178
br;rio.grande.sul;bom.principio,477
br;rio.grande.sul;bom.progresso,125
br;rio.grande.sul;bom.retiro.sul,291
br;rio.grande.sul;boqueirao.leao,143
br;rio.grande.sul;bossoroca,271
br;rio.grande.sul;bozano,48
br;rio.grande.sul;braga,173
br;rio.grande.sul;brochier,1012
br;rio.grande.sul;butia,1833
br;rio.grande.sul;cacapava.sul,691
br;rio.grande.sul;cacequi,101
br;rio.grande.sul;cachoeira.sul,393
br;rio.grande.sul;cachoeirinha,823
br;rio.grande.sul;cacique.doble,351
br;rio.grande.sul;caibate,126
br;rio.grande.sul;caicara,399
br;rio.grande.sul;camaqua,382
br;rio.grande.sul;camargo,378
br;rio.grande.sul;cambara.sul,277
br;rio.grande.sul;campestre.serra,271
br;rio.grande.sul;campina.missoes,72
br;rio.grande.sul;campinas.sul,514
br;rio.grande.sul;campo.bom,760
br;rio.grande.sul;campo.novo,283
br;rio.grande.sul;campos.borges,486
br;rio.grande.sul;candelaria,612
br;rio.grande.sul;candido.godoi,408
br;rio.grande.sul;candiota,327
br;rio.grande.sul;canela,199
br;rio.grande.sul;cangucu,816
br;rio.grande.sul;canoas,827
br;rio.grande.sul;canudos.vale,408
br;rio.grande.sul;capao.bonito.sul,133
br;rio.grande.sul;capao.canoa,1660
br;rio.grande.sul;capao.cipo,82
br;rio.grande.sul;capao.leao,537
br;rio.grande.sul;capela.santana,547
br;rio.grande.sul;capitao,226
br;rio.grande.sul;capivari.sul,189
br;rio.grande.sul;caraa,384
br;rio.grande.sul;carazinho,678
br;rio.grande.sul;carlos.barbosa,1220
br;rio.grande.sul;carlos.gomes,156
br;rio.grande.sul;casca,421
br;rio.grande.sul;caseiros,147
br;rio.grande.sul;catuipe,1299
br;rio.grande.sul;caxias.sul,9422
br;rio.grande.sul;centenario,202
br;rio.grande.sul;cerrito,1073
br;rio.grande.sul;cerro.branco,163
br;rio.grande.sul;cerro.grande,160
br;rio.grande.sul;cerro.grande.sul,370
br;rio.grande.sul;cerro.largo,195
br;rio.grande.sul;chapada,292
br;rio.grande.sul;charqueadas,560
br;rio.grande.sul;charrua,360
br;rio.grande.sul;chiapetta,15
br;rio.grande.sul;chui,949
br;rio.grande.sul;chuvisca,234
br;rio.grande.sul;cidreira,189
br;rio.grande.sul;ciriaco,234
br;rio.grande.sul;colinas,107
br;rio.grande.sul;colorado,212
br;rio.grande.sul;condor,613
br;rio.grande.sul;constantina,802
br;rio.grande.sul;coqueiro.baixo,233
br;rio.grande.sul;coqueiros.sul,235
br;rio.grande.sul;coronel.barros,1642
br;rio.grande.sul;coronel.bicaco,255
br;rio.grande.sul;coronel.pilar,168
br;rio.grande.sul;cotipora,161
br;rio.grande.sul;coxilha,125
br;rio.grande.sul;crissiumal,463
br;rio.grande.sul;cristal,1441
br;rio.grande.sul;cristal.sul,179
br;rio.grande.sul;cruz.alta,2220
br;rio.grande.sul;cruzaltense,217
br;rio.grande.sul;cruzeiro.sul,287
br;rio.grande.sul;david.canabarro,152
br;rio.grande.sul;derrubadas,198
br;rio.grande.sul;dezesseis.novembro,127
br;rio.grande.sul;dilermando.aguiar,108
br;rio.grande.sul;dois.irmaos,824
br;rio.grande.sul;dois.irmaos.missoes,169
br;rio.grande.sul;dois.lajeados,283
br;rio.grande.sul;dom.feliciano,740
br;rio.grande.sul;dom.pedrito,197
br;rio.grande.sul;dom.pedro.alcantara,299
br;rio.grande.sul;dona.francisca,270
br;rio.grande.sul;doutor.mauricio.cardoso,487
br;rio.grande.sul;doutor.ricardo,611
br;rio.grande.sul;eldorado.sul,1182
br;rio.grande.sul;encantado,610
br;rio.grande.sul;encruzilhada.sul,337
br;rio.grande.sul;engenho.velho,81
br;rio.grande.sul;entre.ijuis,734
br;rio.grande.sul;entre.rios.sul,209
br;rio.grande.sul;erebango,99
br;rio.grande.sul;erechim,1122
br;rio.grande.sul;ernestina,50
br;rio.grande.sul;erval.grande,230
br;rio.grande.sul;erval.seco,323
br;rio.grande.sul;esmeralda,164
br;rio.grande.sul;esperanca.sul,493
br;rio.grande.sul;espumoso,56
br;rio.grande.sul;estacao,207
br;rio.grande.sul;estancia.velha,389
br;rio.grande.sul;esteio,1116
br;rio.grande.sul;estrela,1437
br;rio.grande.sul;estrela.velha,146
br;rio.grande.sul;eugenio.castro,274
br;rio.grande.sul;fagundes.varela,303
br;rio.grande.sul;farroupilha,188
br;rio.grande.sul;faxinal.soturno,262
br;rio.grande.sul;faxinalzinho,170
br;rio.grande.sul;fazenda.vilanova,840
br;rio.grande.sul;feliz,690
br;rio.grande.sul;flores.cunha,1518
br;rio.grande.sul;floriano.peixoto,211
br;rio.grande.sul;fontoura.xavier,31
br;rio.grande.sul;formigueiro,253
br;rio.grande.sul;forquetinha,168
br;rio.grande.sul;fortaleza.valos,482
br;rio.grande.sul;frederico.westphalen,274
br;rio.grande.sul;garibaldi,663
br;rio.grande.sul;garruchos,51
br;rio.grande.sul;gaurama,746
br;rio.grande.sul;general.camara,193
br;rio.grande.sul;gentil,78
br;rio.grande.sul;getulio.vargas,998
br;rio.grande.sul;girua,865
br;rio.grande.sul;glorinha,162
br;rio.grande.sul;gramado,281
br;rio.grande.sul;gramado.loureiros,250
br;rio.grande.sul;gramado.xavier,228
br;rio.grande.sul;gravatai,378
br;rio.grande.sul;guabiju,943
br;rio.grande.sul;guaiba,282
br;rio.grande.sul;guapore,871
br;rio.grande.sul;guarani.missoes,353
br;rio.grande.sul;harmonia,533
br;rio.grande.sul;herval,452
br;rio.grande.sul;herveiras,245
br;rio.grande.sul;horizontina,495
br;rio.grande.sul;hulha.negra,285
br;rio.grande.sul;humaita,163
br;rio.grande.sul;ibarama,560
br;rio.grande.sul;ibiaca,240
br;rio.grande.sul;ibiraiaras,112
br;rio.grande.sul;ibirapuita,232
br;rio.grande.sul;ibiruba,139
br;rio.grande.sul;igrejinha,378
br;rio.grande.sul;ijui,1503
br;rio.grande.sul;ilopolis,201
br;rio.grande.sul;imbe,407
br;rio.grande.sul;imigrante,325
br;rio.grande.sul;independencia,343
br;rio.grande.sul;inhacora,76
br;rio.grande.sul;ipe,233
br;rio.grande.sul;ipiranga.sul,84
br;rio.grande.sul;irai,439
br;rio.grande.sul;itaara,219
br;rio.grande.sul;itacurubi,115
br;rio.grande.sul;itapuca,605
br;rio.grande.sul;itaqui,535
br;rio.grande.sul;itati,226
br;rio.grande.sul;itatiba.sul,131
br;rio.grande.sul;ivora,126
br;rio.grande.sul;ivoti,267
br;rio.grande.sul;jaboticaba,285
br;rio.grande.sul;jacuizinho,456
br;rio.grande.sul;jacutinga,96
br;rio.grande.sul;jaguarao,374
br;rio.grande.sul;jaguari,130
br;rio.grande.sul;jaquirana,201
br;rio.grande.sul;jari,485
br;rio.grande.sul;joia,600
br;rio.grande.sul;julio.castilhos,314
br;rio.grande.sul;lagoa.bonita.sul,403
