tipodocumento,n_urns
acordao,1502794
acordao;a,25210
acordao;aa,9
acordao;a.a,2
acordao;aaag,3
acordao;aag,704
acordao;a.ag,7
acordao;aaim,1
acordao;aamc,1
acordao;aams,1
acordao;aar,50
acordao;aarespe,12
acordao;aarp,1
acordao;aat,1
acordao;ac,1629
acordao;aci,172
acordao;aco,463
acordao;acp,7
acordao;acr,113
acordao;ad,5
acordao;adc,24
acordao;adi,3617
acordao;adiv,1
acordao;adpf,59
acordao;aeag,5
acordao;aeapa,1
acordao;aearespe,3
acordao;a.ed,9
acordao;aeeag,2
acordao;aeear,1
acordao;aeerms,1
acordao;aelt,1
acordao;aemc,1
acordao;aepet,1
acordao;aerespe,7
acordao;aerms,1
acordao;aero,1
acordao;aerp,3
acordao;aeximp,1
acordao;aexsup,4
acordao;ag,126105
acordao;ag.ed,10
acordao;agpet,30
acordao;agr,7042
acordao;agr.ac,143
acordao;agr.agr.ac,2
acordao;agr.agr.agr.respe,1
acordao;agr.agr.ar,1
acordao;agr.agr.respe,12
acordao;agr.ai,409
acordao;agr.ar,24
acordao;ag.re,9
acordao;agr.ed.respe,1
acordao;agr.exc,1
acordao;agr.hc,9
acordao;agr.hd,1
acordao;agr.ms,67
acordao;agr.pet,24
acordao;agr.rced,9
acordao;agr.rcl,20
acordao;agr.respe,1230
acordao;agr.rhc,3
acordao;agr.rms,32
acordao;agr.ro,183
acordao;agr.rp,14
acordao;ahc,9
acordao;ai,48467
acordao;aia,14
acordao;aiac,1
acordao;aiag,1
acordao;ai.ed,1
acordao;aire,1
acordao;airma,13
acordao;airma.rma,1
acordao;airo,1700
acordao;airo.airr,1
acordao;airo.roaa,3
acordao;airo.roag,1
acordao;airo.roar,4
acordao;airo.rodc,3
acordao;airo.roms,1
acordao;airr,865283
acordao;ai.rr,2
acordao;airr.rr,7343
acordao;amc,250
acordao;ami,1
acordao;ams,180
acordao;amscol,3
acordao;ao,343
acordao;aoe,13
acordao;ap,378
acordao;apa,1
acordao;apdsf,1
acordao;apet,19
acordao;apn,494
acordao;ar,4548
acordao;arced,35
acordao;arcl,50
acordao;are,17519
acordao;aresp,35197
acordao;arespe,1003
acordao;arginc,3
acordao;arhc,3
acordao;arms,19
acordao;aro,120
acordao;arp,188
acordao;arr,8601
acordao;arv,18
acordao;as,8
acordao;ass,3
acordao;ca,37
acordao;cat,135
acordao;cauinom,211
acordao;cc,14415
acordao;cci,1
acordao;cj,4242
acordao;cm,3
acordao;com,4
acordao;cr,223
acordao;ct,165
acordao;dc,96
acordao;dcg,2
acordao;den,20
acordao;e,80336
acordao;eaag,90
acordao;eaar,2
acordao;eaarespe,1
acordao;eac,1
acordao;eaerms,1
acordao;eaeximp,1
acordao;eag,844
acordao;eamc,8
acordao;eams,4
acordao;ear,79
acordao;earced,2
acordao;earcl,2
acordao;earespe,105
acordao;earms,3
acordao;earo,11
acordao;earp,12
acordao;ecta,1
acordao;ed,205022
acordao;ed.a,1
acordao;ed.ac,2
acordao;edag,1
acordao;ed.agr.ac,1
acordao;ed.agr.agr.ai,1
acordao;ed.agr.agr.respe,4
acordao;ed.agr.ai,51
acordao;ed.agr.ar,4
acordao;ed.agr.hd,1
acordao;ed.agr.ms,4
acordao;ed.agr.pet,2
acordao;ed.agr.rcl,2
acordao;ed.agr.respe,113
acordao;ed.agr.ro,9
acordao;ed.agr.rp,1
acordao;ed.ai,15
acordao;ed.ed.agr.ai,4
acordao;ed.ed.agr.respe,9
acordao;ed.ed.ed.agr.ai,1
acordao;ed.ed.ed.agr.respe,3
acordao;ed.ed.ed.respe,1
acordao;ed.ed.respe,8
acordao;ed.hc,5
acordao;ed.ms,2
acordao;ed.pet,2
acordao;ed.rced,1
acordao;ed.respe,57
acordao;ed.rms,1
acordao;ed.ro,14
acordao;ed.rp,6
acordao;eeaag,2
acordao;eeaeeag,1
acordao;eeapet,1
acordao;eear,1
acordao;eearespe,5
acordao;eeeaag,3
acordao;eeear,1
acordao;eeearespe,1
acordao;eeeear,1
acordao;eeeero,1
acordao;eeerespe,1
acordao;eeerhc,1
acordao;eeero,1
acordao;eerced,2
acordao;eerespe,10
acordao;eerms,1
acordao;eero,4
acordao;eexsup,2
acordao;ehc,13
acordao;ei,8
acordao;eiar,1
acordao;eirced,1
acordao;el,1
acordao;embexear,13
acordao;embexems,94
acordao;emc,13
acordao;ems,26
acordao;emscol,1
acordao;epet,8
acordao;erced,16
acordao;ercl,7
acordao;eresp,11449
acordao;erespe,473
acordao;erhc,2
acordao;erms,11
acordao;ero,79
acordao;erp,31
acordao;es,7
acordao;ev,3
acordao;exear,4
acordao;exemc,1
acordao;exems,34
acordao;eximp,10
acordao;exs,1
acordao;exsup,8
acordao;exsusp,45
acordao;ext,959
acordao;exverd,27
acordao;hc,98284
acordao;hd,50
acordao;idc,6
acordao;if,180
acordao;iin,2
acordao;ij,5
acordao;inf,1
acordao;inq,815
acordao;int,1
acordao;ip,25
acordao;iuj,29
acordao;ivc,7
acordao;ma,94
acordao;mc,5221
acordao;mi,1068
acordao;ms,14514
acordao;mscol,8
acordao;nc,45
acordao;pa,3
acordao;pad,1
acordao;pav,17
acordao;pc,1
acordao;pet,1993
acordao;pp,1
acordao;ppe,14
acordao;prc,5
acordao;psv,17
acordao;ptj,1
acordao;qc,26
acordao;qoag,1
acordao;qoerp,1
acordao;qo.pa,1
acordao;qorced,1
acordao;qorespe,1
acordao;qo.respe,1
acordao;qoro,2
acordao;qo.ro,12
acordao;r,58
acordao;ra,522
acordao;rc,478
acordao;rced,364
acordao;rcf,1
acordao;rcl,5592
acordao;rcpr,1
acordao;re,95400
acordao;reenec.ro,1187
acordao;relacao,10951
acordao;req,1
acordao;resaut,23
acordao;resp,238007
acordao;respe,6968
acordao;rgp,3
acordao;rhc,34794
acordao;rhd,2
acordao;rma,853
acordao;rmi,3
acordao;rms,29050
acordao;rmscol,2
acordao;rne,1
acordao;ro,8151
acordao;roaa,1025
acordao;roaa.roac,7
acordao;roac,514
acordao;roacp,9
acordao;road,40
acordao;roag,3207
acordao;roao,1
acordao;roapr,1
acordao;roar,13228
acordao;roar.roac,62
acordao;roar.roag,1
acordao;rocc,1
acordao;rodc,2673
acordao;roexs,1
acordao;rohc,204
acordao;roif,1
acordao;roijc,135
acordao;roivc,2
acordao;roma,3
acordao;romc,1
acordao;roms,5603
acordao;roop,2
acordao;rora,1
acordao;rorc,2
acordao;rorm,4
acordao;rorp,3
acordao;rp,1648
acordao;rr,497772
acordao;rrar,1
acordao;rrcpr,1
acordao;rrp,31
acordao;r.rp,50
acordao;rvc,72
acordao;rvcr,36
acordao;rxof,153
acordao;rxofaa,7
acordao;rxofac,30
acordao;rxofag,42
acordao;rxof.airo,1
acordao;rxofar,421
acordao;rxofarev,1
acordao;rxofdc,1
acordao;rxofhc,1
acordao;rxofma,2
acordao;rxofms,336
acordao;rxofrma,2
acordao;rxof.rma,4
acordao;rxofro,1
acordao;rxofroaa,15
acordao;rxof.roaa,1
acordao;rxofroac,139
acordao;rxof.roac,28
acordao;rxof.road,4
acordao;rxofroag,580
acordao;rxof.roag,289
acordao;rxofroapr,1
acordao;rxofroar,2537
acordao;rxof.roar,778
acordao;rxof.roar.roac,3
acordao;rxof.roar.rxof.roac,1
acordao;rxofrodc,17
acordao;rxof.rodc,45
acordao;rxofroms,631
acordao;rxof.roms,396
acordao;sa,1
acordao;sd,25
acordao;se,630
acordao;sec,486
acordao;sl,84
acordao;sls,460
acordao;ss,701
acordao;sta,111
artigo.revista,159024
ato.regimental,41
capitulo.livro,8136
constituicao,6
decisao;apd,9
decisao;asi,3
decisao;comissao,5
decisao;cons,74
decisao;cor,1
decisao;pad,19
decisao;pam,24
decisao;pca,789
decisao;pp,513
decisao;ra,8
decisao;rd,73
decisao;rep,15
decisao;revdis,72
decisao;rgd,8
decisao;sind,14
decreto,325213
decreto.legislativo,23810
decreto.lei,12605
deliberacao,2583
emenda.constitucional,257
emenda.lei.organica,1712
enunciado,12
folheto,2375
instrucao.normativa,84
lei,300768
lei.complementar,6980
lei.constitucional,19
lei.delegada,214
lei.organica,363
livro,83086
medida.provisoria,6800
medida.provisoria;mpv,350
ordem.servico,454
orientacao.normativa,41
parecer,10126
parecer;adc,13
parecer;adi,3631
parecer;adpf,89
portaria,9598
processo,178
projeto.decreto.legislativo;pdc,4589
projeto.decreto.legislativo;pds,4179
projeto.lei.complementar;plc,26
projeto.lei.complementar;plp,752
projeto.lei.conversao;plv,225
projeto.lei;pl,12414
projeto.lei;plc,1014
projeto.lei;pls,584
projeto.resolucao;prc,538
projeto.resolucao;prn,19
proposta.emenda.constitucional;pec,966
publicacao.oficial;diario.congresso.nacional,35
publicacao.oficial;diario.justica;secao.1,1495
publicacao.oficial;diario.justica;secao.1;edicao.extra,2
publicacao.oficial;diario.justica;secao.2,1488
publicacao.oficial;diario.justica;secao.2;edicao.extra,1
publicacao.oficial;diario.justica;secao.3,1495
publicacao.oficial;diario.justica;secao.unica,757
publicacao.oficial;diario.legislativo,4366
publicacao.oficial;diario.oficial.uniao;secao.1,3003
publicacao.oficial;diario.oficial.uniao;secao.1;edicao.extra,262
publicacao.oficial;diario.oficial.uniao;secao.2,3009
publicacao.oficial;diario.oficial.uniao;secao.2;edicao.extra,99
publicacao.oficial;diario.oficial.uniao;secao.3,3003
publicacao.oficial;diario.oficial.uniao;secao.3;edicao.extra,51
publicacao.oficial;diario.senado.federal,1379
recomendacao,35
regimento.interno,5
resolucao,18545
resolucao;inst,1
resolucao;pa,5
resolucao;rcand,1
revista,2428
sumula,914
