id,prefixo,kx_n_urns,grupo_id,escopo
30,br:advocacia.geral.uniao;procuradoria.geral.federal;coordenacao.geral.projetos.assuntos.estrategicos:portaria,1,,prj
43,br:camara.deputados:projeto.decreto.legislativo;pdc,4589,,prj
44,br:camara.deputados:projeto.decreto.legislativo;pds,3,,prj
45,br:camara.deputados:projeto.lei.complementar;plp,752,,prj
46,br:camara.deputados:projeto.lei;pl,12414,,prj
47,br:camara.deputados:projeto.resolucao;prc,538,,prj
55,br:congresso.nacional:projeto.lei.conversao;plv,225,,prj
56,br:congresso.nacional:projeto.resolucao;prn,19,,prj
2527,br:senado.federal:projeto.decreto.legislativo;pds,4176,,prj
2528,br:senado.federal:projeto.lei.complementar;plc,26,,prj
2529,br:senado.federal:projeto.lei;plc,1014,,prj
2530,br:senado.federal:projeto.lei;pls,584,,prj
1,br:advocacia.geral.uniao:ato.regimental,41,,leg
2,br:advocacia.geral.uniao;centro.estudos.victor.nunes.leal:ordem.servico,2,,leg
3,br:advocacia.geral.uniao;conselho.superior.agu:portaria,59,,leg
4,br:advocacia.geral.uniao;conselho.superior.agu:resolucao,109,,leg
5,br:advocacia.geral.uniao;consultoria.geral.uniao;consultoria.juridica.mte:parecer,2042,,leg
6,br:advocacia.geral.uniao;consultoria.geral.uniao;nucleo.assessoramento.juridico.al:parecer,1,,leg
7,br:advocacia.geral.uniao;consultoria.geral.uniao:ordem.servico,6,,leg
8,br:advocacia.geral.uniao;consultoria.geral.uniao:parecer,48,,leg
9,br:advocacia.geral.uniao;consultoria.geral.uniao:portaria,51,,leg
10,br:advocacia.geral.uniao;corregedoria.geral.agu:instrucao.normativa,3,,leg
11,br:advocacia.geral.uniao;corregedoria.geral.agu:ordem.servico,61,,leg
12,br:advocacia.geral.uniao;corregedoria.geral.agu:portaria,3284,,leg
13,br:advocacia.geral.uniao;diretoria.geral.administracao:ordem.servico,24,,leg
14,br:advocacia.geral.uniao;diretoria.geral.administracao:portaria,4,,leg
15,br:advocacia.geral.uniao;escola.advocacia.geral.uniao:ordem.servico,75,,leg
16,br:advocacia.geral.uniao;escola.advocacia.geral.uniao:portaria,3,,leg
17,br:advocacia.geral.uniao;gerencia.tecnologia.informacao:instrucao.normativa,4,,leg
18,br:advocacia.geral.uniao;gerencia.tecnologia.informacao:ordem.servico,2,,leg
19,br:advocacia.geral.uniao;gerencia.tecnologia.informacao:portaria,2,,leg
20,br:advocacia.geral.uniao:instrucao.normativa,50,,leg
21,br:advocacia.geral.uniao:ordem.servico,23,,leg
22,br:advocacia.geral.uniao:orientacao.normativa,41,,leg
23,br:advocacia.geral.uniao:parecer,288,,leg
24,br:advocacia.geral.uniao:portaria,1403,,leg
25,br:advocacia.geral.uniao;procuradoria.geral.fazenda.nacional:portaria,48,,leg
